a surprising thing|jambo la ajabu
he went to the car to take out the canned food in the trunk|alikwenda garini na kutoa vyakula vya kibati katika buti [Moh]
the relationship between a parent and a child|uhusiano kati ya mzazi na mzawa (Mkangi, Ukiwa)
at the swelling of her breasts|kwenye mfuro wa maziwa yake [Mkangi, Ukiwa]
Burundi awaits outcome of referendum|Burundi wasubiri matokeo ya kura ya maoni
[<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC</a> 1 March 2005]
opinion polls show Bush and Kerry almost neck and neck|kura za maoni zaonyesha kwamba Bush na Kerry karibu wanalingana nguvu [<a href="http://tanzania.usembassy.gov/wwwhwashkswl107.html" target="_blank">US Embassy Tanzania</a>]
what's happening here?|nini inabamba uko?
where are you going?|unaisha wapi?
that girl has AIDS|uzo manze kweli ana tsunami
it's not time yet|zi bado time
that girl's a babe|uyo dame ako kitu
how are you?  just fine|mambo vip?  freshi kabisa
they will be punished as perpetrators of war crimes|wataadhibiwa kama wahalifu wa kivita [<a href="http://tanzania.usembassy.gov/wwwhke130.html" target="_blank">US Embassy Tanzania</a>]
my column in the paper is called 'Gossip of the Week'|Safu yangu gazetini hapo inaitwa Gumzo la Wiki [<a href="http://jikomboe.blogspot.com/" target="_blank">Ndesanjo Macha</a>]
the first born child is Jumanne, and the next one is Halima.|kifungua mimba ni Jumanne, na aliyemfuata ni Halima (Moshi Tuimarishe 56)
The third one is Bakari.  He is the last born child.|Wa tatu ni Bakari.  Yeye ni kitinda mimba.  (Moshi Tuimarishe 56).
more than 40 globalisation protesters have been arrested|zaidi ya waandamanaji 40 wanaopinga utandawazi wamekamatwa [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC 2 March 2005</a>]
opposition supporters have gathered in Lebanon's capital Beirut|wafuasi wa upinzani wamekusanyika katika mji mkuu wa Lebanon, Beirut [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 14 March 2005</a>]
organization of files|mpangilio wa mafaili
the organizational structure of our records|muundo wa mpangilio wa kumbukumbu zetu
clients' records|kumbukumbu za wateja
to address the needs of the people of this area|kutatua mahitaji ya watu wa eneo hili
to improve our service|kuimarisha huduma yetu
to recover expenses|kufidia gharama
Examples of people with microenterprises are small store owners, fruit or vegetable vendors, tailors, etc.  They are individually-owned businesses.|Mifano ya watu wenye biashara ndogondogo ni wamiliki wa maduka madogo, wauzaji wa matunda au mboga, washonaji wa nguo, n.k.. Yaani, ni biashara za mtu mmoja binafsi (peke yake).
The applicant has been rejected|Mwombaji amekataliwa
The clients' applications have been accepted|Maombi ya wateja yamekubaliwa
he has defaulted on his loan (repayment has not been completed)|ameshindwa na mkopo wake (malipo hayajakamilishwa)
Loan repayments are expected each month.|Marejesho ya mkopo yanahitajika kila mwezi
Loan repayments are returned each month|Malipo ya mikopo yanarejesha kila mwezi
Cats say nyau!|Nyau husema nyau!
Fertilizer, seeds and plows are examples of agricultural supplies.|Mbolea, mbegu na plau ni mifano ya pembejeo (za kilimo).
She is investing (money) in her business.  She is investing in children's education.|Anawekeza (pesa) katika biashara yake.  Anawekeza katika elimu ya watato wake.
United Nations Makes Big Changes|Umoja wa Mataifa Kufanya Mabadiliko Makubwa [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 21 Machi 2005</a>]
when he entered, he found a platter filled with rice and chicken already in the sitting room|alipoingia ndani, alikuta sinia iliyojaa wali na kuku tayari sebuleni (<a href="http://fas-digiclass.rutgers.edu/global/skeleton.jsp?page=/Swahili/WASIA_WA_MASKINI.html&dept=Swahili" target="_blank">Wasia wa Maskini</a>)
cargo plane crashes in Tanzania|ndege ya mizigo yaanguka Tanzania [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC 23 Machi 2005</a>]
an election will be held in October to find a successor to President Benjamin Mkapa|uchaguzi utafanyika Oktoba kumtafuta mrithi wa rais Benjamin Mkapa [<a href="http://www.bbc.co.uk/swahili/news/story/2005/03/050319_uchaguzi_tanzania1.shtml" target="_blank">BBC 23 Machi 2005</a>]
an election will be held in October to find a successor to President Benjamin Mkapa|uchaguzi utafanyika Oktoba kumtafuta mrithi wa rais Benjamin Mkapa [<a href="http://www.bbc.co.uk/swahili/news/story/2005/03/050319_uchaguzi_tanzania1.shtml" target="_blank">BBC 23 Machi 2005</a>]
opposition parties in the Republic of Kyrgysztan have taken steps to restore calm after the occurrence of looting|vyama vya upinzani katika jamhuri ya Kyrgysztan vimechukua hatua ya kurejesha amani baada ya kutokea kwa uporaji
[<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 26 Machi 2005</a>]
new forest regulations on direction of participatory forest management|sheria mpya ya misitu na miongozi ya usimamizi shirkishi wa misitu (<a href="http://www.iucn.org/themes/wetlands/REMP/26cbnrm.pdf" target="_blank">Rufiji Environment Management Project</a>)
the blessing of God Almighty, the Father, the Son, and the Holy Ghost, be upon you, and remain with you for ever [<a href="http://www.eskimo.com/~lhowell/bcp1662/baptism/confirm.html" target="_blank">Book of Common Prayer, 1662</a>]|baraka ya Mungu Mwenyiezi, Baba, na Mwana, na Roho Mtakatifu, iwe kwenu, ikae nauyi daima
[<a href="http://justus.anglican.org/resources/pc/bcp/swahili_confirmation.html" target="_blank">Katibu cha Sala kwa Watu Wote, 1906</a>]
the Church has been seen as “a people made one with the unity of the Father, the Son and the Holy Spirit” [2nd Vatican Council]|Kanisa zima ulimwenguni linajionyesha kuwa “taifa lililokusanywa na umoja wa Baba, wa Mwana na wa Roho Mtakatifu” [<a href="http://www.vatican.va/archive/hist_councils/ii_vatican_council/documents/vat-ii_const_19641121_lumen-gentium_sw.html" target="_blank">Mtaguso Mkuu wa Vatikani wa II</a>]
information and communication technology (ICT)|teknolojia ya mawasiliano na upashanaji habari
[<a href="http://www.ccmtz.org/makala/madakapinga.htm" target="_blank">CCM</a>]
organic fertiliser, organic farming|mbolea mahuluku, kilimo mahuluku [<a href="http://www.worldbank.org/afr/ik/swahili/IK-Compendium-Swahili.pdf" target="_blank">Benki ya Dunia 2004</a>]
among Ugandan women of reproductive age, maternal health issues are a major problem|miongoni mwa wanawake wa kiganda wenye umri wa kuweza kuzaa, masuala ya afya ya mama ni tatizo kuu [<a href="http://www.worldbank.org/afr/ik/swahili/IK-Compendium-Swahili.pdf" target="_blank">Benki ya Dunia</a>]
a high maternal mortality rate estimated at 506/100,000|idadi kubwa ya vifo vya kina mama inayokadiriwa kufikia 506/100,000 [<a href="http://www.worldbank.org/afr/ik/swahili/IK-Compendium-Swahili.pdf" target="_blank">Benki ya Dunia</a>]
62 percent [of births] are attended by traditional midwives|asilimia 62 [ya wazazi] iliyobaki huzalishwa na wakunga wa jadi [<a href="http://www.worldbank.org/afr/ik/swahili/IK-Compendium-Swahili.pdf" target="_blank">Benki ya Dunia</a>]
the state of misunderstanding that had developed between the two parliaments of Kyrgyzstan began to improve four days after the opposition took over the government|hali ya kutoelewana iliyojitokeza kati ya mabunge mawili nchini Kyrgyzstan … imeanza kupungua siku nne baada ya upinzani kuchukua madaraka [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC</a>]
the lower house of the previous parliament has decided to halt its activities|kitengo cha chini cha bunge la zamani kimeamua kusimamisha shughuli zake [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC</a>]
the lower chamber of the previous parliament has decided to halt its activities|kitengo cha chini cha bunge la zamani kimeamua kusimamisha shughuli zake [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC</a>]
the former MPs intend to give up their claim to be the legitimate administrators of the parliament|manaibu wa bunge la zamani wana nia ya kuacha madai yao kuwa ndio wenye haki ya kusimamia bunge [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC</a>]
the march was in protest against proposals in the domestic relations bill|maandamano yanapinga mapendekezo ya muswada wa mahusiano ya kinyumba [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC</a>]
the bill will be debated soon in parliament|muswada utajadiliwa na bunge karibuni [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC</a>]
male and female Muslims criticised the bill for trying to rewrite the Qur'an|Waislamu wa kike na wa kiume wanaushtumu muswada huo kama jaribio la kuiandika upya Qur'ani [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC</a>]
they claim that their travel documents have been stolen|wanadai kuwa hati zao za kusafiria hunyang'anywa [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC</a>]
some of the arrested Tanzanians are claiming that their travel documents have been stolen|baadhi ya waTanzania waliokamatwa wanadai kuwa hati zao za kusafiria hunyang'anywa [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC</a>]
they have asked the authorities to intervene in the matter|wameitaka serikali kuingilia kati suala hilo [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC</a>]
They are pumped for their big game.|Wamesisumusha kwa mchezo mkubwa wao.
traditional health practitioners need medicinal plants|watendaji wa dawa za jadi huhitaji mimea ya dawa [<a href="http://www.worldbank.org/afr/ik/swahili/IK-Compendium-Swahili.pdf" target="_blank">World Bank</a>]
Every morning I quarrel with my wife.  The reason?  She doesn't want to clean my shoes.|Kila siku asubuhi hugombana na mke wangu.  Sababu?  Hataki kunisafishia viatu vyangu.  [Yahya]
Gabriel closed the heart of the Prophet|Kaufunga Jiburili moyo wa Tumwa Rasuli [Miiraji]
he came to enlighten the culture that we inherited from our ancestors|alikuja kutuangazia utamaduni tulioachiwa na wazee [<a href="http://www.alfagems.com/PFDA/katiba.htm" target="_blank">Utawa wa Ndugu Wadogo wa Afrika</a>]
he came to gather us again through his Spirit of love|alikuja kutukusanya tena kwa njia ya Roho wake wa upendo [<a href="http://www.alfagems.com/PFDA/katiba.htm" target="_blank">Utawa wa Ndugu Wadogo wa Afrika</a>]
and Buraki was brought in with a decorated saddle {example from old Swahili}|na Buraki kayetewa kiti kyake mepambiwa [Miiraji] {mfano kutoka Kiswahili cha zamani}
the baboon does not see it's own backside, it sees that of its companion (proverb)|nyani haoni kundule, huliona la mwenziwe (methali)
the apartheid Government of South Africa|Serikali ya kibaguzi ya Afrika Kusini [Kairos]
critique of state theology|ufafanuzi wa teolojia ya serikali [Kairos]
the Goverment of South Africa has a theology of its own, and we have chosen to call it 'State Theology'|Serikali ya kibaguzi ya Afrika Kusini inayo teolojia ya aina yake na tumeona tuiite 'Teolojia ya Serikali' [Kairos]
Jesus wept over Jerusalem|Yesu aliulilia mji wa Yerusalemu [Kairos]
the grief is unspeakable whenever I remember you|majonzi hayaneneki, kila nikikumbukia [Shaaban Robert <i>Amina</i>]
In the ancient dominions, Lake Taihu was called Zhenze, and also called Wuhu.  This lake is the third largest fresh water lake in China.|Katika enzi za kale Ziwa Taihu liliitwa Zhenze, pia liliitwa Wuhu.  Ziwa hilo ni ziwa kubwa la tatu lenye maji baridi nchini China.  (<a href="http://sw.chinabroadcast.cn/1/2005/02/24/1@19625.htm" target="_blank">CRI Online</a>)
in the 12th century A.D.  Christians began crusades against Muslims in the Holy Land|katika karne ya XII Wakristo walianzisha vita vya msalaba dhidi ya Waislamu hasa katika nchi takatifu [<a href="http://www.alfagems.com/PFDA/HISTORIA%20YA%20UTAWA.htm" target="_blank">Utawa wa Ndugu Wadogo wa Afrika</a>]
the Ugandan Government says that former president Milton Obote is free to return home there from exile in Zambia|Serikali ya Uganda inasema kuwa rais wa zamani Milton Obote yuko huru kurejea nyumbani, kutoka uhamishoni nchini Zambia [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_leoafrica.shtml" target="_blank">BBC 1 Aprili 2005</a>]
South Africa has been plunged into great turmoil|Afrika Kusini imeingizwa katika msukosuko mkubwa [Kairos]
we as a group of theologians have been trying to understand the significance, theologically, of this moment in our history|sisi tukiwa kikundi cha wanateolojia tumekuwa tukijaribu kuelewa umuhimu, kiteolojia, wa wakati huu katika historia yetu [Kairos]
we as a group of theologians have been trying to understand the significance, theologically, of this moment in our history|sisi tukiwa kikundi cha wanateolojia tumekuwa tukijaribu kuelewa umuhimu, kiteolojia, wa wakati huu katika historia yetu [Kairos]
happy is the man that reads this book; happy are those that listen to this prophetic message and heed what is written here [Revelation 1:3]|heri yake mtu anayesoma kitabu hiki; heri yao wale wanaosikiliza maneno ya ujumbe huu wa kinabii na kushika yaliyoandikwa humu [Ufunua Aliopewa 1:3]
it is the moment of truth, not only for the policy of apartheid, but also for the Church|ni wakati ukweli, siyo tu kwa siasa ya ubaguzi, ila pia kwa Kanisa [Kairos]
how many Sacraments hath Christ ordained in his Church?  [<a href="http://www.eskimo.com/~lhowell/bcp1662/baptism/catchism.html" target="_blank">Book of Common Prayer, 1662</a>]|kuna Sakramenti ngapi alizoamuru Kristo katika Kanisa lake?  [<a href="http://justus.anglican.org/resources/pc/bcp/swahili_catechism.html" target="_blank">Katibu cha Sala kwa Watu Wote, 1906</a>]
The show took place in the FM club hall.|shoo ilifanyika katika ukumbi wa FM club (<a href="http://www.xplastaz.com/" target="_blank">Xplastaz</a>)
She turned on either the foreign station or the English broadcast.|"alifungulia aidha stesheni za nje au Idhaa ya Kiingereza" [Akwilombe, Dar Imenihadaa]
there is a new Swahili blogger, Egidio Ndabagoye, from Moshi, Tanzania.  Swahili blogs are slowly increasing|kuna mwanablogu mpya wa Kiswahili, Egidio Ndabagoye, toka Moshi, Tanzania.  ... blogu za Kiswahili zinaongezeka polepole.  (<a href="http://jikomboe.blogspot.com/" target="_blank">jikomboe</a>)
there is a new Swahili blogger, Egidio Ndabagoye, from Moshi, Tanzania.  Swahili blogs are slowly increasing|kuna mwanablogu mpya wa Kiswahili, Egidio Ndabagoye, toka Moshi, Tanzania.  ... blogu za Kiswahili zinaongezeka polepole.  (<a href="http://jikomboe.blogspot.com/" target="_blank">jikomboe</a>)
he saw one of them being badly treated, so he went to his rescue [Acts 7:24]|alimwona mmoja wao akitendwa vibaya, akaenda kumwokoa [Matendo ya Mitume 7:24]
men, women and children were dragged from the River Tigris|watoto, wanawake na wanaume waliburutwa kutoka mto Tigris [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 20 Aprili 2005</a>]
some of the corpses had been slaughtered by having their throats cut|baadhi ya miili hiyo ilikuwa imechinjwa na koo kukatwa [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 20 Aprili 2005</a>]
it is believed that those people were lined up against a wall and shot dead|inaaminiwa kuwa watu hao walisimamishwa ukutani na kupigwa risasi hadi kufa [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 20 Aprili 2005</a>]
it is believed that those people were stood up against a wall and shot dead|inaaminiwa kuwa watu hao walisimamishwa ukutani na kupigwa risasi hadi kufa [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 20 Aprili 2005</a>]
Italian Prime Minister Silvio Berlusconi has resigned and is preparing to form a new right-wing coalition governement|Waziri Mkuu wa Italia Silvio Berlusconi amejiuzulu na kujiandaa kuunda serikali mpya ya mrengo wa kulia ya mseto [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 20 Aprili 2005</a>]
Italian Prime Minister Silvio Berlusconi has resigned and is preparing to form a new right-wing coalition governement|Waziri Mkuu wa Italia Silvio Berlusconi amejiuzulu na kujiandaa kuunda serikali mpya ya mrengo wa kulia ya mseto [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 20 Aprili 2005</a>]
The first Greek who reached the [East African] Coast wrote reports for us about the inhabitants of the coast.|Mgirigi wa kwanza aliyefika Pwani alituandikia ... habari za wenyeji ... wa pwani.  [Shariff, Tungo Zetu, uk.  1]
We will answer these questions in the conclusion of this chapter.|Tutayajibu masuali haya katika Kimalizio cha mlango huu.  [Shariff, Tungo Zetu, uk.  10]
You will see that English racism refuses even to look at their own population statistics, in explaining to us their propoganda about the Swahili ethnic group.|Utaona ... kuwa ugozi ... wa Kiingereza unakataa hata kuangalia hisabu za idadi ya watu walizozifanya wenyewe, katika kutueleza porojo lao kuhusu kabila la Waswahili" [Shariff, Tungo Zetu, uk.  12]
laugh, for be not in doubt, your turn will come|cheka usiwe na shaka, itakuja zamu yako [Shaaban Robert, <i>Cheka kwa Furaha</i>]; hii ilikuwa zamu yake kuutambua ukweli [Muk]
during pregnancy, women with poor diet are vulnerable to diseases|wakati wa ujauzito wanaweke wenye lishe duni wanakabiliwa na maradhi [<a href="http://www.njas.helsinki.fi/pdf-files/vol9num2/sewangi.pdf" target="_blank">Sewangi</a>]
well-known political and religious leaders from more than 200 different countries are attending the mass|viongozi maarufu wa kisiasa na kidini zaidi ya 200 kutoka nchi mbali mbali duniani wanahudhuria misa [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 8 Aprili 2005</a>]
blood pressure|shinikizo la damu
big televisions have been spread around in different districts of the city of Rome to enable mourners to see the funeral proceedings for themselves|Televisheni kubwa zimesambazwa katika maeneo mbali mbali ya jiji la Roma kuwawezesha waombolezaji kujionea shughuli za mazishi [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 8 Aprili 2005</a>]
during pregnancy, women with poor diet are vulnerable to diseases|wakati wa ujauzito wanaweke wenye lishe duni wanakabiliwa na maradhi [<a href="http://www.njas.helsinki.fi/pdf-files/vol9num2/sewangi.pdf" target="_blank">Sewangi</a>]
big televisions have been spread around in different districts of the city of Rome to enable mourners to see the funeral proceedings for themselves|Televisheni kubwa zimesambazwa katika maeneo mbali mbali ya jiji la Roma kuwawezesha waombolezaji kujionea shughuli za mazishi [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 8 Aprili 2005</a>]
others sympathized with him/her|wengine walimwonea huruma [Kez]
fasten a door (with a bar)|pinza mlango [Rech]
thwart somebody's plans|pinza nia ya fulani [Rech]
Amnesty International is afraid for the lives of the foreign nationals like Nick du Toit in the Black Beach Gaol|Amnesty [International] inahofia zaidi maisha ya raia wa kigeni kama Nick du Toit ambaye yupo katika gereza la Black Beach [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 14 Aprili 2005</a>]
they attended the funeral together with tens of thousands of mourners crammed in to the square|wanahudhuria misa ya mazishi wakiungana na makumi ya maelfu ya waombolezaji waliojazana katika eneo la piazza [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 8 Aprili 2005</a>]
anyhow you like it, you will play the muscle|vyovyote utakavyo, wee utacheza msuli [<a href="http://www.africanhiphop.com/index.php?module=subjects&func=viewpage&pageid=157" target="_blank">Saigon <i>Msuli</i></a>]
they attended the funeral together with tens of thousands of mourners crammed in to the square|wanahudhuria misa ya mazishi wakiungana na makumi ya maelfu ya waombolezaji waliojazana katika eneo la piazza [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 8 Aprili 2005</a>]
the Church should be avoid finding itself in the situation of being a "Third Force" between the oppressor and the oppressed|Kanisa liwe macho lisijikute katika hali ya kuwa "Madaraka ya Tatu" kati ya mdhulumu na mdhulumiwa [Kairos 5.4]
the Church should be avoid finding itself in the situation of being a "Third Force" between the oppressor and the oppressed|Kanisa liwe macho lisijikute katika hali ya kuwa "Madaraka ya Tatu" kati ya mdhulumu na mdhulumiwa [Kairos 5.4]
millions of Roman Catholics throughout the world have been grieving for Pope John Paul II|mamilioni ya waumini wa kanisa katoliki kote duniani wamekuwa wakiomboleza msiba wa Papa Yohana Paulo II [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 8 Aprili 2005</a>]
more than 70 prisoners in Equatorial Guinea are in danger of dying of hunger as a result of being denied food|wafungwa zaidi ya 70 nchini Equatorial Guinea wapo hatarini kufa njaa kwa kukoseshwa chakula [<a href="http://www.bbc.co.uk/swahili/" target="_blank">BBC 14 Aprili 2005</a>]
in two months|kwa miezi miwili [Rec]
everyday matters|mambo ya kawaida
during pregnancy, women with poor diet are vulnerable to diseases|wakati wa ujauzito wanaweke wenye lishe duni wanakabiliwa na maradhi [<a href="http://www.njas.helsinki.fi/pdf-files/vol9num2/sewangi.pdf" target="_blank">Sewangi</a>]
old manuscripts which were written in Arabic script|miswada ya zamani iliyoandikwa kwa hati ya Kiarabu [<a href="http://www.geocities.com/africanwriters/Contemporaryswahili.html" target="_blank">Contemporary Swahili Writers</a>]
you and your husband Joseph fled hastily, forgetting your bicycle|wewe pamoja na mmeo Yosefu mlikimbia kwa haraka, mkasahau baiskeli [Kez]
she moved and went to the picture of the Virgin Mary|alihama na kuiendea ile picha ya Bikira Maria [Kez]
enlighten those with envious hearts|wamulike hao wenye mioyo ya wivu [Kez]
enlighten those with envious hearts|wamulike hao wenye mioyo ya wivu [Kez]
she gazed perplexedly at the three-sided square with three eyes|aliutazama kwa wasiwasi ule mraba wenye pembe tatu na macho matatu [Kezilahabi <i>Gamba la Nyoka</i>]
the name of the newspaper <i>Mtanzania</i> should be written in italics|jina la gazeti la <i>Mtanzania</i> liandikwe kwa italiki
We visited the market and saw fruits ...|Tulitembelea marikiti na kuona matunda ... [<a href="http://groups.msn.com/SitiBintiSaad/noirlachatpakashume2.msnw" target="_blank">Siti Binti Saad</a>]
you may meet someone that loves you|waweza kukutana na mmoja atakupenda [Nyota 1968]
the management of natural resources in Rufiji District|usimamizi wa maliasili Wilaya ya Rufiji [<a href="http://www.iucn.org/themes/wetlands/REMP/26cbnrm.pdf" target="_blank">REMP</a>]
database field [Open Office Swahili localization]|uga wa hifadhidata [Mradi wa Kuswahilisha Programu Huria]
trial of Al-Quaeda suspects begins in Spain|kesi ya washukiwa wa Al-Qaeda yaanza Uhispania [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
Hamza, a young journalist, is arrested because he is suspected of being a traitor, especially on account of his close connection to Hamduni, who shot and killed Kigogo, the leader of the country [Shafi Adam Shafi, the novel Haini, 2003, back cover]|Hamza, kijana mwandishi wa habari, anakamatwa kwa kutuhumiwa kuwa haini, hasa kutokana na uhusiano wake wa karibu na Hamduni, ambaye amempiga risasi na kumwua Kigogo, kiongozi wa nchi [Shafi Adam Shafi, riwaya Haini, 2003, nyuma]
24 people were escorted to the dock, three of them blamed for supplying help and money for setting up the September 11th attack in the United States|watu 24 wamefikishwa kizimbani kujibu mashitaka, watatu kati yao wakishutumiwa kutoa misaada na fedha kwa walioendesha shambulio la Septemba 11 nchini Marekani [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
our ball team was beaten|timu yetu ya mpira ilishindwa
I am waiting for a taxi.|Ninangoja teksi.
the aircraft flew for four hours before landing at Toulouse airport|ndege hiyo ilipaa kwa kiasi cha saa nne kabla ya kutua kwenye uwanja wa mji wa Toulouse [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 27 Aprili 2005</a>]
the aeroplane, whose decks are constructed and assembled in European countries, is capable of carrying eight hundred passengers|ndege hiyo yenye orofa iliyoundwa na kutengenezwa barani Ulaya ina uwezo wa kusafirisha abiria mia nane [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 27 Aprili 2005</a>]
commercial flights are expected to start this year|inatarajiwa kuanza safari za kibiashara hapo mwakani [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 27 Aprili 2005</a>]
a small, light aircraft that has low fuel consumption|ndege ndogo nyepesi zisizotumia mafuta mengi [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 27 Aprili 2005</a>]
this pronouncement he made the day before yesterday at the inauguration of the Science of Citizenship Programme|tamko hilo alilitoa juzi wakati wa uzinduzi wa Programu ya Elimu ya Uraia [<a href="http://216.69.164.44/ipp/nipashe/2005/05/09/38995.html" target="_blank">Nipashe 9 Mei 2005</a>]
three months of negotiation between Shia, Kurdish and Sunni political parties|miezi mitatu ya majadiliano baina ya vyama vya Washia,Wakurdi na Wasuni [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 28 Aprili 2005</a>]
three months of negotiation between Shia, Kurdish and Sunni political parties|miezi mitatu ya majadiliano baina ya vyama vya Washia,Wakurdi na Wasuni [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 28 Aprili 2005</a>]
three months of negotiation between Shia, Kurdish and Sunni political parties|miezi mitatu ya majadiliano baina ya vyama vya Washia,Wakurdi na Wasuni [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 28 Aprili 2005</a>]
countries with nuclear weapons are blamed for failing to set an example by abandoning them|nchi zenye silaha za kinuklia zinalaumiwa kwa kushindwa kuonyesha mfano wa kuzitupilia mbali [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
countries with nuclear weapons are blamed for failing to set an example by abandoning them|nchi zenye silaha za kinuklia zinalaumiwa kwa kushindwa kuonyesha mfano wa kuzitupilia mbali [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
representatives from more than 180 countries are meeting at the UN headquarters to discuss the future of the treaty forged 35 years ago controlling the spread of nuclear weapons technology|wawakilishi kutoka nchi zaidi ya mia moja na themanini, wanakutana kwenye makao makuu ya Umoja wa Mataifa, kujadili mustakabali wa mkataba uliosaniwa miaka 35 iliyopita, kudhibiti kusambaa kwa teknolojia ya silaha za kinuklia [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
representatives from more than 180 countries are meeting at the UN headquarters to discuss the future of the treaty forged 35 years ago controlling the spread of nuclear weapons technology|wawakilishi kutoka nchi zaidi ya mia moja na themanini, wanakutana kwenye makao makuu ya Umoja wa Mataifa, kujadili mustakabali wa mkataba uliosaniwa miaka 35 iliyopita, kudhibiti kusambaa kwa teknolojia ya silaha za kinuklia [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
She subscribes to the magazine "Afrika Leo" because she likes to read it every week.|Amelipia gazeti "Afrika Leo" kwa sababu anapenda kulisoma kila wiki.
this will be the first government in fifty years to be elected democratically|hii itakuwa ni serikali ya kwanza katika kipindi cha miaka hamsini kuchaguliwa kidemokrasia [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 28 Aprili 2005</a>]
